# unix time in nanoseconds, state label
1697307074999622017, START
1697307084792371189, A
1697309539422407883, B
1697310927874082246, C
1697310988205946348, IGNORE
1697311003729826916, D
1697315156896721041, IGNORE
1697316345779712766, E
1697316559548434766, IGNORE
1697316587178339501, F
1697317059830541468, IGNORE
1697317203389386333, G
1697317385301668709, IGNORE
1697317431805718267, H
1697317564294333497, I
1697332518534335528, IGNORE
1697332534711093426, J
1697334293087039254, IGNORE
1697334308922531166, K
1697338739377821515, STOP
